GEOID,NAME,NAMEmsa,tpopr,pwhite,pblack,pasian,phisp,povr,ttrips,PM25,mpm,npm
36081129102,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4142,0.546837277,0.006035732,0.295992274,0.073635925,0.060840174,81690,7.949968033,8.097789003,7.95367245
36081139900,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1745,0.391404011,0.001719198,0.512320917,0.06017192,0.029293509,31400,8.008253279,8.090431356,7.999274727
36081147100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3117,0.401989092,0.00737889,0.471607315,0.087905037,0.106636598,63077,8.016031967,8.119893054,8.003980191
36047028502,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3131,0.001596934,0.523155541,0.040881508,0.422868093,0.449057809,49841,8.589819399,8.548239135,8.586820297
36047029000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4118,0.63890238,0,0.245507528,0.070665372,0.191355027,77101,8.585691257,8.565139095,8.592463342
36047029100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2927,0.200888282,0.651520328,0.003074821,0.129142467,0.086106346,56375,8.55049235,8.565181949,8.565115756
36047030200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4608,0.328776042,0.012152778,0.587456597,0.049262153,0.171440972,69758,8.559996995,8.554275258,8.568140601
36005033600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",6697,0.034941018,0.409586382,0.018665074,0.532626549,0.30058235,100088,8.358336612,8.385422817,8.350902186
36005036100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5547,0.003244997,0.274562827,3.61E-04,0.721831621,0.33538573,104764,8.278819126,8.393495415,8.285055082
36047032100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5582,0.216589036,0.595306342,0.025080616,0.091006808,0.197808121,82508,8.654043443,8.575011253,8.643560975
36047033100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4064,0.593503937,0.37253937,0,0.031742126,0.129440994,38673,8.613706011,8.550484262,8.603316081
36047035300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5091,0.18503241,0.63111373,0.03103516,0.124337065,0.174606299,103051,8.591373224,8.536759446,8.601674249
36047044600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2171,0.440350069,0.005527407,0.382312298,0.167664671,0.235701107,40724,8.574553552,8.576530674,8.576749954
36047045400,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1645,0.789665653,0.016413374,0.057142857,0.060182371,0.219452888,14289,8.545152459,8.513538993,8.553307275
36047049300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",7471,0.211618257,0.183241869,0.044706197,0.513050462,0.391380003,87801,8.573682514,8.547829711,8.576508852
36047049800,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4268,0.41190253,0.023195876,0.335285848,0.16049672,0.076148079,56156,8.672039344,8.622482556,8.68262418
36047050202,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2360,0.817372881,0.01059322,0.037288136,0.097881356,0.071186441,18884,8.672028962,8.593380452,8.673551585
36047000301,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4209,0.813257306,0.028510335,0.05702067,0.042765502,0.115191987,33793,8.768318306,8.600392448,8.779239344
36081061000,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1475,0.003389831,0.977627119,0,0.018983051,0.020338983,21951,7.852949727,8.053132848,7.852864026
36081062300,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2133,0.619784341,0,0.008438819,0.37177684,0.085325832,36704,8.286665847,8.270083213,8.30168051
36081063500,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2761,0.699384281,0.002535313,0.015574067,0.273451648,0.191443075,43610,8.231871038,8.290015769,8.241519331
36081065703,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2986,0.798727395,6.70E-04,0.026121902,0.170797053,0.044221106,46705,8.268237158,8.256800116,8.275937659
36081068200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1016,0.008858268,0.826771654,0.023622047,0.130905512,0.127127127,19234,7.834030601,8.08108294,7.834904554
36047002901,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4533,0.024487095,0.504301787,0.195014339,0.168100596,0.401153761,52235,8.710081148,8.608969482,8.710607104
36047005602,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",1606,0.717932752,0.011830635,0.141967621,0.110211706,0.108966376,25344,8.702261202,8.611061843,8.705215027
36047006200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",2700,0.642222222,0.029259259,0.174814815,0.147037037,0.159985152,66959,8.728755738,8.627944138,8.725051093
36047007100,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",4890,0.142331288,0.342331288,0.041104294,0.448670757,0.276003276,60272,8.737691803,8.63656697,8.739677869
36047007600,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",5146,0.149630781,0.020987175,0.166537116,0.653905946,0.326078508,47924,8.737514481,8.661788314,8.735947658
36047008200,"New York city, New York","New York-Newark-Jersey City, NY-NJ-PA",3942,0.122272958,0.034500254,0.127346525,0.68594622,0.281555899,51409,8.736133333,8.660463106,8.7342551
